date,market,turnover_krw,close,institution_net_x,individual_net_x,foreign_net_x,individual_ratio,foreign_ratio,institution_ratio,institution_net_y,individual_net_y,foreign_net_y,institution_net,individual_net,foreign_net,turnover_ma20,turnover_std20,turnover_ratio20,turnover_z20,turnover_chg_5d,turnover_chg_20d,ret_1d,ret_5d,ret_20d
2022-03-21,KOSDAQ,8416902000000.0,918.4,,,,,,,,,,,,,7683759250000.0,1049542869206.4453,1.0954145914969942,0.6985353066657735,-0.07844801261830348,-0.05718053259558742,-0.004940625812603017,0.05267984044748064,0.050536478232023896
2022-03-21,KOSPI,8693850000000.0,2686.05,,,,,,,,,,,,,11082407850000.0,1721964187505.9653,0.7844730240639899,-1.3871123844099837,-0.2777890893431182,-0.26403793139790765,-0.007746525699847018,0.015270349441536046,-0.021150909773367532
2022-03-22,KOSDAQ,9800674000000.0,924.67,,,,,,,,,,,,,7858462250000.0,1097932044362.6794,1.2471490844153383,1.7689726426806338,0.2537562448438022,0.5540310537477005,0.006827090592334439,0.06135074952365649,0.04872350319265961
2022-03-22,KOSPI,9367506000000.0,2710.0,,,,,,,,,,,,,11125366050000.0,1664113764678.569,0.8419953067521765,-1.0563340603937246,-0.022487316604963614,0.10097901565310852,0.008916438636659807,0.03374746808161633,-0.01257779138064219
2022-03-23,KOSDAQ,11241547000000.0,930.57,,,,,,,,,,,,,8131517100000.0,1225595219498.4553,1.3824661329187884,2.5375669311705566,0.44504463532234007,0.9447529171604288,0.00638065472006244,0.04347387306570982,0.05238337574215435
2022-03-23,KOSPI,11838672000000.0,2735.05,,,,,,,,,,,,,11322462950000.0,1485438346048.0066,1.0455915865902656,0.3475129421381701,0.2714919398882014,0.49918586595420344,0.009243542435424468,0.028512012875907766,-0.003189007945185507
2022-03-24,KOSDAQ,11123840000000.0,931.75,,,,,,,,,,,,,8334397000000.0,1367586606933.159,1.3346904401122242,2.039682887985707,0.13131048502126008,0.5742229037726134,0.0012680400184832408,0.01927515780031297,0.07330868207945995
2022-03-24,KOSPI,13177859000000.0,2729.66,,,,,,,,,,,,,11451831400000.0,1530325054978.4783,1.1507206611511938,1.127882990861882,0.10729889869719988,0.24431060319210918,-0.0019707135152923216,0.013045043440180093,0.008449122392206299
2022-03-25,KOSDAQ,11253888000000.0,934.69,,,,,,,,,,,,,8554099750000.0,1467530545967.9321,1.3156133700685453,1.83968112787684,0.327892389380531,0.6405483923588227,0.003155352830694902,0.01270910982057738,0.06538018761469466
2022-03-25,KOSPI,10824995000000.0,2729.98,,,,,,,,,,,,,11536154450000.0,1439944665974.4094,0.9383538549971476,-0.4938797071891363,-0.05397451489188998,0.184543932319998,0.00011723071737868018,0.00848165141003765,0.0038425757391902238
